IOHANNES DE MANDAVILLA [MAGDOVILLANUS; MAGNOVILLANUS; DE SANCTO ALBANO]	<JEAN DE MANDEVILLE>	Itinerarius a terra Anglie in partes Iherosolomitanas et in ulteriores marinas
IOHANNES DE MEERHOUT		Tractatulus de laude terrae Brabantiae (De laude Brabantiae)
IOHANNES DE PERUSIO	<GIOVANNI DA PERUGIA>	Descriptio Terrae Sanctae cum indice omnium eiusdem locorum (Opusculum descriptionis Terrae Sanctae)
IOHANNES DE PLANO CARPINI	<GIOVANNI DA PIAN DEL CARPINE>	Historia Mongalorum
IOHANNES DE SANCTO OMERO		Impugnatio descriptionis Northfolchiae
IOHANNES TEUXBURIENSIS	<JOHN OF TEWKESBURY>	De situ universorum
IOHANNES FRANCOFURDINUS	<JOHANNES VON FRANKFURT>	Itinerarius
IOHANNES WIRZBURGENSIS	<JOHANNES VON WÜRZBURG>	Descriptio Terrae Sanctae
IONAS BOBIENSIS <*auctor incertus>	<GIONA DI BOBBIO>	Carmen de Hibernia insula
IULIANUS HUNGARUS [IULIANUS FRATER]	<FRATE GIULIANO>	Epistola de vita Tartarorum (De vita Tartarorum sive Tractatus de Tartaris ad episcopum Perusinum apostolicae sedis legatum)
IUSTULUS, PETRUS FRANCISCUS	<GIUSTOLO, PIER FRANCESCO>	Descriptio montis Spoleto imminentis ad Clarelium Lupum
KNUYT VAN SLYTERHOVEN, HERMANNUS	<KNUYT VAN SLYTERHOVEN, HERMANN>	Scornetta
LAGENATOR DE FRANCOFORDIA, IOHANNES 		Itinerarius
LI MUISIS [MUCIDUS], AEGIDIUS	<LI MUISIS [LE MUISET], GILLES>	Itinerarium expeditionis Romam
LUDOLPHUS DE SUDHEIM [SUCHENSIS]	<LUDOLFO DI SUDHEIM [SUCHEN; SUTHEN]; LUDOLF VON SUDHEIM>	De itinere Terrae Sanctae
LUDOVICUS DE RUPE CAVARDI		Itinerarium in Terram Sanctam
LUDOVICUS DE VARTHEMA [DE BARTHEMA; VERTOMANNUS]	<LUDOVICO DI VARTHEMA>	Novum itinerarium
LUPUS DE PALACIIS RUBEIS, IOHANNES	<LOPEZ DE PALACIOS RUBIOS, JUAN>	Insularum maris oceani tractatus
MACHNAEUS, DOMINICUS	<MACANAEO, DOMENICO>	Chorographya Verbani lacus
MARIANUS DE FLORENTIA	<MARIANO DA FIRENZE>	Itinerarium urbis Romae
MARIGNOLLIS, IOHANNES DE	<MARIGNOLLI, GIOVANNI DE’>	Chronicon Bohemorum
MARINUS DE FREGENO	<MARINO DI FREGENO>	Descriptio provinciarum Alamannorum
MARTHONO, NICOLAUS DE 	<MARTONI, NICOLA DE>	Liber peregrinationis ad loca sancta
MATTHAEUS PARISIENSIS	<MATTEO DI PARIGI>	Iter de Londinio in Terram Sanctam
MATTHAEUS PARISIENSIS	<MATTEO DI PARIGI>	Tabulae geographicae
MAURITIUS FRATER		Itinerarium in Terram Sanctam
MONETARIUS, HIERONYMUS	<MÜNZER, HIERONYMUS>	Itinerarium
MONTAGNANA, BARTHOLOMAEUS	<MONTAGNANA, BARTOLOMEO>	De balneis patavinis
